Slide Number,Text
29,"장애는 점진적으로 변화하는 개념이며 ,  손상을 지닌 사람과 그들이 다른 사람과 동등하게 사회에  완전하고 효과적으로 참여하는 것을 저해하는 태도 및  환경적인 장벽 간의 상호작용으로부터 기인된다는 것을 인정한다 . 보호받는 신분  편견 ,  차별의 대상 수동적 ,  의존적 ,  부정적 시민 소외 무력함 박애 ,  자선 ,  시혜의 대상 _ UN 장애인 권리협약 전문 (e) 항 출처  :  김형식 (2008) UN 장애인권리협약과 장애인의 시민적 권리 누구나 예외 없이 보장되어야 하는 인권  인권과 장애인 인권  UN  장애인 권리협약 적극적 사회성원 평등과  반차별 긍정적 시민적 권리 포함 역량강화 시민으로서의  권리 인정 장애인도  시민으로서 인권을  보장받을 수 있는 법적 장치 마련"
30,장애인 인권의 목표 모든 인간의 보편적  권리로서의  장애인 인권 보장   장애인 인권에 대한 장애인과 비장애인의 공감대 확산이 무엇보다 중요  모든 인간의 보편적  권리로서의  장애인 인권 장애인 인권의 접근  사회적 약자 의 인권은 ? 사회적 약자 만의 인권 모든 사람 의 인권
31,"장애를 이유로             빈번하게 발생하는 차별 채용 및 임금 ,  복리후생  불리한 조건 적용  행복추구권 ,  교육받을 권리 등의 침해  차이를 넘어 차별 없는 세상으로 !  장애인 차별금지법  장애인차별금지법  (2007.4 월 제정 )    고용 모 · 부성권 ,  성 등 장애여성 · 장애아동 · 정신적 장애 사법 · 행정절차 및 서비스와 참정권 재화와 용역의 제공 및 이용 교육 가족 · 가정 · 복지시설 건강권 등 장애인"
32,출처  :  국가인권위원회 차이를 넘어 차별 없는 세상으로 !  장애인 차별금지법  |     장애인 차별금지 유형 및 영역     |   직접 차별 장애인을 정당한 이유 없이 배제 · 거부하거나 불리하게 대우하는 경우를 말합니다 . 간접 차별 형식상으로 공정한 기준을 적용했더라도 장애인에게 불리한  결과가 발생하였다면   이는 간접차별에 해당합니다 .
33,차이를 넘어 차별 없는 세상으로 !  장애인 차별금지법  출처  :  국가인권위원회 |     장애인 차별금지 유형 및 영역     |   정당한 편의제공 거부에 의한 차별 과도한 부담이나 현저히 곤란한 사정과 같은 정당한 이유 없이 장애인에게 편의시설이나 서비스 등의 제공을 거부하는 경우를 말합니다 . 광고에 의한 차별 광고의 내용이 장애인에 대한 배제 · 거부 등 불리한 대우를 나타내는 경우 이는 광고에 의한 차별에 해당됩니다 .
34,"정당한 편의는   고용과 관련된  전과정에서 필요 !   정당한 편의제공으로 장애인의 동등한 활동 참여  정당한 편의제공 거부에 의한 차별 장애인차별금지법 제 4 조 ‘정당한 사유 없이 장애인에 대하여 정당한 편의 제공을 거부하는  경우’를  차별행위의 한 유형으로 규정 -1 항 - ‘정당한  편의’라  함은 장애인이 장애가 없는 사람과 동등하게 같은 활동에 참여할 수 있도록  장애인의 성별 ,  장애의 유형 및 정도 ,  특성 등을 고려한  편의시설 · 설비 · 도구 · 서비스 등 인적 · 물적 제반 수단과 조치를 말한다 -2 항 - 물적인 지원 ,  직무재배치 인적지원 서비스 제도개선  시설장비의 설치나 개조 ,  출입구 및 경사로 설치 직무조정 ,  수어통역 · 훈련 보조인력 휴가제도나  작업장 방침 변경"
35,"정당한 편의제공으로 장애인의 동등한 활동 참여  정당한 편의제공 거부에 의한 차별 지체장애 시각장애 청각장애 신장장애 의사소통에 제한에 있을 시 ,  수어통역사를  보조인으로 배치하여  의사소통이 필요한 직무를 가능하게 함 근무시간 중  투석이 필요한 경우 ,  근무시간을  변경하여 근무가 가능하도록 함   모니터에  확대  독서기  설치  계단 이용이 어렵다면 ,  경사로를 설치하여 출입이 가능하도록 함 장애유형 에 따른 정당한 편의제공"
36,"정당한 편의제공으로 장애인의 동등한 활동 참여  정당한 편의제공 거부에 의한 차별 실내 근무 지체장애인 근로자 외부업무 많은 지체장애인 근로자 제조업체 생산직에 근무하는 지적장애인 근로자 외식업체 주방보조로 근무하는 지적장애인 근로자  생산성 향상을 위한  맞춤 보조공학기기 필요  원활한 업무수행과 안전을 위한  작업지도원 필요  이동과 짐 운반 등을 도와 줄  보조인 필요  경사로 ,  엘리베이터 ,  높낮이조절 테이블 등의 시설 · 장비가 필요  수행직무 에 따른 정당한 편의제공"
37,"일하고 싶다면 지원 받을 수 있습니다 장애인 지원제도 취업알선지원 중증장애인 지원고용 취업성공패키지 · 중증인턴제 능력에 따른 사업체 소개 직업훈련을 통한 능력제고 구인상담 및 현장 방문 취업 후 ,  적응과 경력 개발 지원 장애인 취업성공패키지 단계별 전문적인 서비스를  제공하는 통합취업지원프로그램 중증장애인 인턴제 중증장애인 인턴 근무기회 제공 ,  직무능력 향상 · 정규직 전환 지원 선훈련  후배치 선배치  후훈련 장애인 사업주 훈련준비금 , 일비 ,  상해보험 등 훈련준비금 , 직무지도원 배치"
38,"일하고 싶다면 지원 받을 수 있습니다 장애인 지원제도 장애인 직무 중  부수적인 업무 지원 취업을 희망하는  만  18 세 이상  69 세 이하의 장애인 상담 · 취업  계획 수립 직업능력 향상 집중 취업알선 근로지원인 지원 장애인 취업성공패키지 장애인 직업생활상담원 선임의무 맞춤훈련 및 능력개발 지원 힌국장애인 고용공단 사업주 약정체결 1 단계 2 단계 3 단계 이동 지원 수기 서류 대독 수어  통역 훈련실시 ,  우선 채용 장애인 근로자  상시  20 명 이상 장애인  직업지도 직업능력  개발훈련 직업적응  훈련 취업 후  적응지도"
39,"감사합니다 기업의 사회적 가치 실현의 첫걸음 ,  장애인 고용 , 함께  하면  길 이 보입니다"
